================================================================
======== Log Rotated - 2026/03/23, 00:00:00                     
[02:46:53] [aGhEF#5] Joshua Sprigs: disconnected (Disconnected.)
[02:47:14] [aGhEF#6] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[02:47:28] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[02:53:10] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[02:54:40] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[02:56:02] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[02:57:04] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:28:43] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:28:52] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:29:02] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:29:31] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:29:47] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:30:21] [aGhEF#6] Joshua Sprigs: enabled noclip
[03:31:10] [aGhEF#6] Joshua Sprigs: became mortal (standard mode)
[03:31:11] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:32:04] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:32:06] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:32:27] [aGhEF#6] Joshua Sprigs: enabled noclip
[03:32:44] [aGhEF#6] Joshua Sprigs: became mortal (standard mode)
[03:35:37] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:35:44] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:37:36] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:38:43] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:38:49] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:39:54] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:40:01] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[03:59:30] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:01:27] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:02:24] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:08:51] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:14:39] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:14:55] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:16:14] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:19:21] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:19:46] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:20:10] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:20:41] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:24:24] [aGhEF#6] Joshua Sprigs: said "/-openInventory"
[04:24:38] [aGhEF#6] Joshua Sprigs: disconnected (Exiting)
================================================================
======== txAdmin v8.0.1 atop fxserver 25770 Starting - 2026/03/23, 04:25:01
================================================================
[04:25:03] txAdmin: Logger started
[04:25:47] [igJ9E#1] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[04:26:06] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:26:44] [igJ9E#1] Joshua Sprigs: said "stdb:addItem weapon_pistol"
[04:26:46] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:26:49] [igJ9E#1] Joshua Sprigs: said "/stdb:addItem weapon_pistol"
[04:26:51] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:27:00] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:27:27] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:29:09] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:33:16] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:33:40] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:33:47] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:33:52] [igJ9E#1] Joshua Sprigs: said "stdbgive 1 weapon_pistol 1"
[04:33:53] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:34:00] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:34:15] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:36:52] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:40:28] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:40:35] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:41:46] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:42:15] [igJ9E#1] Joshua Sprigs: said "/-openInventory"
[04:42:32] [igJ9E#1] Joshua Sprigs: disconnected (Exiting)
================================================================
======== txAdmin v8.0.1 atop fxserver 25770 Starting - 2026/03/23, 16:02:45
================================================================
[16:02:50] txAdmin: Logger started
[16:04:48] [WLQLa#1] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[16:05:08] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:05:26] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:06:41] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:06:47] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:07:50] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:10:54] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:11:14] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:13:29] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:14:28] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:14:44] [WLQLa#1] Joshua Sprigs: enabled noclip
[16:15:39] [WLQLa#1] Joshua Sprigs: became mortal (standard mode)
[16:17:24] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:17:33] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:17:39] [WLQLa#1] Joshua Sprigs: said "/-openInventory"
[16:18:24] [WLQLa#1] Joshua Sprigs: disconnected (Exiting)
[17:34:39] [WLQLa#2] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[17:36:19] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:36:36] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:36:48] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
